Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
BMW,320,4150000,2002,Алматы,седан,2.2,автомат,,задний привод,слева,синий металлик,Да
Kia,Shuma,550000,1998,Алматы,лифтбек,1.8,механика,290000.0,передний привод,слева,красный,Да
Lexus,RX 300,24000000,2020,Алматы,кроссовер,2.0,автомат,65052.0,полный привод,слева,белый металлик,Да
Hyundai,Santa Fe,17000000,2021,Алматы,кроссовер,2.5,автомат,18000.0,полный привод,слева,белый,Да
Mercedes-Benz,E 55 AMG,9500000,2006,Алматы,седан,5.5,автомат,,задний привод,слева,белый,Да
Kia,Optima,8100000,2014,Алматы,седан,2.4,автомат,139000.0,передний привод,слева,белый металлик,Да
Mercedes-Benz,G 63 AMG,37500000,2013,Алматы,внедорожник,5.5,автомат,83000.0,полный привод,слева,черный металлик,Да
Toyota,Camry,12700000,2015,Алматы,седан,2.5,автомат,127000.0,передний привод,слева,черный металлик,Да
Toyota,Camry,6200000,2007,Алматы,седан,2.4,автомат,344326.0,передний привод,слева,черный металлик,Да
Mitsubishi,Galant,1250000,1995,Алматы,хэтчбек,2.0,автомат,350000.0,передний привод,слева,красный,Да
Toyota,C-HR,17000000,2022,Алматы,кроссовер,2.0,вариатор,4000.0,передний привод,слева,серый,Да
Mazda,323,630000,1994,Алматы,седан,1.6,механика,,передний привод,слева,,Да
Infiniti,FX35,7899999,2007,Алматы,кроссовер,3.5,автомат,777777.0,полный привод,слева,черный металлик,Да
Toyota,Land Cruiser,59000000,2022,Алматы,внедорожник,3.5,автомат,34000.0,полный привод,слева,белый,Да
Audi,A4,2200000,1996,Алматы,седан,2.6,автомат,320718.0,передний привод,слева,серебристый металлик,Да
Toyota,Highlander,7200000,2002,Алматы,кроссовер,3.0,автомат,,полный привод,слева,серебристый,Да
Toyota,Camry,16500000,2021,Алматы,седан,2.5,автомат,20000.0,передний привод,слева,черный,Да
Mercedes-Benz,C 320,3000000,2000,Алматы,седан,3.2,автомат,,задний привод,слева,белый,Да
Mercedes-Benz,E 220,2500000,1995,Алматы,седан,2.2,механика,,задний привод,слева,,Да
BMW,X5,69500000,2023,Алматы,кроссовер,4.4,автомат,3500.0,полный привод,слева,черный металлик,Да
Subaru,Forester,9900000,2016,Алматы,кроссовер,2.5,вариатор,,полный привод,слева,серебристый,Да
Hyundai,Sonata,7800000,2011,Алматы,седан,2.4,автомат,128380.0,передний привод,слева,синий,Да
BMW,X2,18500000,2018,Алматы,кроссовер,2.0,автомат,16500.0,полный привод,слева,черный металлик,Да
Toyota,Previa,2600000,1994,Каскелен,минивэн,2.4,механика,435.0,задний привод,слева,бирюзовый,Да
Mitsubishi,Space Wagon,1600000,1993,Алматы,минивэн,2.0,механика,,передний привод,слева,,Да
Mitsubishi,Lancer,4500000,2010,Алматы,седан,1.5,автомат,200000.0,передний привод,слева,черный металлик,Да
ГАЗ,ГАЗель,2500000,2000,Алматы,микроавтобус,2.7,механика,,задний привод,слева,белый,Да
Toyota,Venza,28700000,2021,Алматы,кроссовер,2.5,вариатор,22000.0,полный привод,слева,белый металлик,Да
BMW,X5,58500000,2022,Алматы,кроссовер,3.0,автомат,18000.0,полный привод,слева,черный,Да
Toyota,Land Cruiser Prado,17700000,2012,Алматы,внедорожник,4.0,автомат,205000.0,полный привод,слева,белый,Да
Honda,e:NS1,11400000,2023,Алматы,кроссовер,,автомат,77.0,передний привод,слева,голубой металлик,Да
Mercedes-Benz,S 350,5000000,2005,Алматы,седан,3.7,автомат,264568.0,задний привод,слева,серебристый металлик,Да
Nissan,Qashqai,6700000,2013,Алматы,кроссовер,1.6,вариатор,222.0,передний привод,слева,белый металлик,Да
Subaru,Legacy,5100000,2006,Алматы,седан,2.0,автомат,200000.0,полный привод,слева,белый,Да
Subaru,Legacy,5200000,2006,Алматы,седан,2.0,механика,200000.0,полный привод,справа,белый металлик,Да
Audi,TT,13000000,2002,Алматы,купе,1.8,механика,,полный привод,слева,фиолетовый,Да
Hyundai,Creta,8200000,2016,Алматы,кроссовер,1.6,механика,135000.0,передний привод,слева,,Да
Land Rover,Range Rover Sport,8000000,2007,Алматы,внедорожник,4.4,автомат,,полный привод,слева,белый,Да
Mitsubishi,Space Wagon,2350000,1997,Алматы,минивэн,2.0,механика,,передний привод,слева,белый металлик,Да
Toyota,Camry,17700000,2022,Алматы,седан,2.5,автомат,3557.0,полный привод,слева,белый,Да
Toyota,Camry,6700000,2007,Алматы,седан,2.4,автомат,300000.0,передний привод,слева,серебристый металлик,Да
Toyota,Camry,18700000,2023,Алматы,седан,2.5,автомат,,передний привод,слева,серебристый металлик,Да
Toyota,Corolla,5700000,2010,Алматы,седан,1.6,автомат,194.0,передний привод,слева,,Да
Toyota,Land Cruiser,7300000,1999,Алматы,внедорожник,4.7,автомат,,полный привод,слева,серебристый металлик,Нет
Kia,Optima,10500000,2016,Алматы,седан,2.0,автомат,110000.0,передний привод,слева,черный,Да
Mercedes-Benz,Viano,6400000,2005,Алматы,минивэн,3.2,автомат,,задний привод,слева,,Да
